date,transaction_value
2023-01,2900.4249429751094
2023-02,2340.1130297276613
2023-03,3144.1415726386304
2023-04,3156.963112452648
2023-05,3076.297582276962
2023-06,3181.9371003181095
2023-07,2832.3907360947564
2023-08,2337.629535861902
2023-09,2605.787913625298
2023-10,2855.50487444989
2023-11,2032.8491747330108
2023-12,3720.5646783750954
2024-01,3242.2574120420813
2024-02,3690.5990581937044
2024-03,4245.247024218063
2024-04,2705.713423277653
2024-05,3485.936428346758
2024-06,3821.6352702901204
2024-07,3267.9037919448224
2024-08,2991.3113588897127
2024-09,2126.3934827641815
2024-10,2751.7831227396073
2024-11,3847.1984704373867
2024-12,3442.0196230495185
2025-01,2456.726878057356
2025-02,3186.384673329074
2025-03,4420.474367360077
2025-04,2209.228574512025
2025-05,2822.5247836946187
2025-06,2933.51708663237
2025-07,3045.5744353260243
2025-08,2865.906217453524
2025-09,2815.721658886012
